origin,destination,flows,pop.destination
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Newton_Ward 3,,14603
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Newton_Ward 5,,20214
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Newton_Ward 7,,12829
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Newton_Ward 8,,11362
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NMCOG_Developing Suburbs,,74368
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NMCOG_Maturing Suburbs,,101690
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NSPC_Maturing Suburbs,86,161159
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NSPC_Regional Urban Centers,,37258
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NSTF_Developing Suburbs,,55889
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NSTF_Maturing Suburbs,,63633
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NSTF_Regional Urban Centers,62,158671
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",OCPC_Developing Suburbs,,184584
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",PVPC_Developing Suburbs,,173566
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",PVPC_Maturing Suburbs,,15633
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",PVPC_Regional Urban Centers,,239962
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",PVPC_Rural Towns,,27236
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Quincy_Houghs Neck,,13394
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Quincy_North Quincy,,17172
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Quincy_Quincy Center,,15681
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Quincy_South Quincy,,27277
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Quincy_Wollaston,,14501
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Somerville_2143,,20785
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Somerville_2144,79,29483
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Somerville_2145,,27210
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Springfield_Forest Park,,24733
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Springfield_Indian Orchard,,11428
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Springfield_South End,,16949
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",SRPEDD_Developing Suburbs,,272896
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",SRPEDD_Maturing Suburbs,,22414
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",SRPEDD_Regional Urban Centers,,116278
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",SSC_Developing Suburbs,,41968
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",SSC_Maturing Suburbs,128,198636
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",SWAP_Developing Suburbs,,103784
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",SWAP_Regional Urban Centers,,26799
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",TRIC_Developing Suburbs,,44628
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",TRIC_Maturing Suburbs,81,172876
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",TRIC_Regional Urban Centers,,28587
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Worcester_Burncoat,,37561
