"","origin","destination","flows","population"
"274","ICC Inner Core","Newton Ward 5",153,20214
"275","ICC Inner Core","Newton Ward 8",59,11362
"276","ICC Inner Core","NMCOG Developing Suburbs",93,74368
"277","ICC Inner Core","NMCOG Maturing Suburbs",318,101690
"278","ICC Inner Core","NSPC Maturing Suburbs",1103,161159
"279","ICC Inner Core","NSPC Regional Urban Centers",280,37258
"280","ICC Inner Core","NSTF Developing Suburbs",82,55889
"281","ICC Inner Core","NSTF Maturing Suburbs",162,63633
"282","ICC Inner Core","NSTF Regional Urban Centers",402,158671
"283","ICC Inner Core","OCPC Developing Suburbs",109,184584
"284","ICC Inner Core","Quincy Quincy Center",53,15681
"285","ICC Inner Core","Quincy South Quincy",90,27277
"286","ICC Inner Core","Somerville 2143",156,20785
"287","ICC Inner Core","Somerville 2144",285,29483
"288","ICC Inner Core","Somerville 2145",163,27210
"289","ICC Inner Core","SRPEDD Developing Suburbs",67,272896
"290","ICC Inner Core","SSC Maturing Suburbs",199,198636
"291","ICC Inner Core","SWAP Developing Suburbs",141,103784
"292","ICC Inner Core","TRIC Developing Suburbs",51,44628
"293","ICC Inner Core","TRIC Maturing Suburbs",390,172876
"294","ICC Inner Core","TRIC Regional Urban Centers",83,28587
"295","ICC Maturing Suburbs","Boston Dorchester",57,132393
"296","ICC Maturing Suburbs","ICC Inner Core",180,417536
"297","ICC Maturing Suburbs","NSPC Maturing Suburbs",119,161159
"298","ICC Maturing Suburbs","NSTF Regional Urban Centers",92,158671
"299","ICC Maturing Suburbs","SSC Maturing Suburbs",76,198636
"300","ICC Maturing Suburbs","TRIC Maturing Suburbs",77,172876
"301","Lawrence Ward A","Lawrence Ward C",78,14242
"302","Lawrence Ward A","Lawrence Ward D",97,18315
"303","Lawrence Ward A","Lawrence Ward E",52,12811
"304","Lawrence Ward A","Lawrence Ward F",54,10378
"305","Lawrence Ward A","MVPC Regional Urban Centers",167,136397
"306","Lawrence Ward C","Lawrence Ward A",86,16297
"307","Lawrence Ward C","Lawrence Ward D",114,18315
"308","Lawrence Ward C","Lawrence Ward E",51,12811
"309","Lawrence Ward C","MVPC Regional Urban Centers",107,136397
"310","Lawrence Ward D","Lawrence Ward A",131,16297
"311","Lawrence Ward D","Lawrence Ward C",110,14242
"312","Lawrence Ward D","Lawrence Ward E",72,12811
"313","Lawrence Ward D","Lawrence Ward F",65,10378
"314","Lawrence Ward D","MVPC Regional Urban Centers",139,136397
"315","Lawrence Ward E","Lawrence Ward D",73,18315
"316","Lawrence Ward E","Lawrence Ward F",54,10378
"317","Lawrence Ward E","MVPC Developing Suburbs",52,110116
"318","Lawrence Ward E","MVPC Regional Urban Centers",108,136397
"319","Lawrence Ward F","Lawrence Ward A",63,16297
"320","Lawrence Ward F","Lawrence Ward D",61,18315
"321","Lawrence Ward F","Lawrence Ward E",70,12811
"322","Lawrence Ward F","MVPC Regional Urban Centers",93,136397
"323","Lowell Acre","Lowell Highlands",51,17818
"324","Lowell Acre","Lowell Lower Belvidere",111,33301
"325","Lowell Centralville","Lowell Lower Belvidere",104,33301
"326","Lowell Centralville","NMCOG Developing Suburbs",94,74368
"327","Lowell Highlands","Lowell Centralville",52,15808
"328","Lowell Highlands","Lowell Lower Belvidere",114,33301
"329","Lowell Highlands","Lowell Lower Highlands",76,11813
"330","Lowell Highlands","Lowell Pawtucketville",60,14355
"331","Lowell Highlands","NMCOG Developing Suburbs",96,74368
"332","Lowell Highlands","NMCOG Maturing Suburbs",78,101690
"333","Lowell Lower Belvidere","Lowell Acre",99,12072
"334","Lowell Lower Belvidere","Lowell Centralville",103,15808
"335","Lowell Lower Belvidere","Lowell Highlands",98,17818
"336","Lowell Lower Belvidere","Lowell Lower Highlands",86,11813
"337","Lowell Lower Belvidere","Lowell Pawtucketville",78,14355
"338","Lowell Lower Belvidere","NMCOG Developing Suburbs",109,74368
"339","Lowell Lower Belvidere","NMCOG Maturing Suburbs",119,101690
"340","Lowell Lower Highlands","Lowell Highlands",100,17818
"341","Lowell Lower Highlands","Lowell Lower Belvidere",95,33301
"342","Lowell Pawtucketville","Lowell Lower Belvidere",66,33301
"343","Lowell Pawtucketville","NMCOG Developing Suburbs",113,74368
"344","Lowell Pawtucketville","NMCOG Maturing Suburbs",60,101690
"345","Lynn Ward 1","Lynn Ward 3",54,22132
"346","Lynn Ward 1","NSTF Regional Urban Centers",69,158671
"347","Lynn Ward 3","ICC Inner Core",64,417536
"348","Lynn Ward 3","Lynn Ward 1",80,13903
"349","Lynn Ward 3","Lynn Ward 4",109,17440
"350","Lynn Ward 3","Lynn Ward 5",53,19986
"351","Lynn Ward 3","Lynn Ward 7",63,15589
"352","Lynn Ward 3","NSTF Maturing Suburbs",72,63633
"353","Lynn Ward 3","NSTF Regional Urban Centers",128,158671
"354","Lynn Ward 4","ICC Inner Core",61,417536
"355","Lynn Ward 4","Lynn Ward 3",103,22132
"356","Lynn Ward 4","Lynn Ward 5",101,19986
"357","Lynn Ward 4","Lynn Ward 7",54,15589
"358","Lynn Ward 4","NSTF Regional Urban Centers",86,158671
"359","Lynn Ward 5","ICC Inner Core",53,417536
"360","Lynn Ward 5","Lynn Ward 3",98,22132
"361","Lynn Ward 5","Lynn Ward 4",93,17440
"362","Lynn Ward 5","Lynn Ward 7",79,15589
"363","Lynn Ward 5","NSTF Regional Urban Centers",51,158671
"364","Lynn Ward 7","Lynn Ward 1",54,13903
"365","Lynn Ward 7","Lynn Ward 3",65,22132
"366","Lynn Ward 7","Lynn Ward 5",68,19986
"367","Lynn Ward 7","NSTF Regional Urban Centers",67,158671
"368","MAGIC Developing Suburbs","CMRPC Developing Suburbs",102,308392
"369","MAGIC Developing Suburbs","ICC Inner Core",56,417536
"370","MAGIC Developing Suburbs","MAGIC Maturing Suburbs",175,115604
"371","MAGIC Developing Suburbs","Metrowest Regional Urban Centers",123,36255
"372","MAGIC Developing Suburbs","MRPC Developing Suburbs",106,104376
"373","MAGIC Developing Suburbs","MRPC Regional Urban Centers",81,110984
"374","MAGIC Maturing Suburbs","Cambridge All",93,101355
"375","MAGIC Maturing Suburbs","CCC Maturing Suburbs",57,201577
"376","MAGIC Maturing Suburbs","CMRPC Developing Suburbs",64,308392
"377","MAGIC Maturing Suburbs","ICC Inner Core",347,417536
"378","MAGIC Maturing Suburbs","MAGIC Developing Suburbs",239,45932
"379","MAGIC Maturing Suburbs","Metrowest Maturing Suburbs",91,106807
"380","MAGIC Maturing Suburbs","Metrowest Regional Urban Centers",57,36255
"381","MAGIC Maturing Suburbs","MRPC Developing Suburbs",125,104376
"382","MAGIC Maturing Suburbs","MRPC Regional Urban Centers",57,110984
"383","MAGIC Maturing Suburbs","NMCOG Developing Suburbs",76,74368
"384","MAGIC Maturing Suburbs","NMCOG Maturing Suburbs",113,101690
"385","MAGIC Maturing Suburbs","NSPC Maturing Suburbs",105,161159
"386","Metrowest Developing Suburbs","SWAP Developing Suburbs",52,103784
"387","Metrowest Maturing Suburbs","Boston Allston/Brighton",69,75954
"388","Metrowest Maturing Suburbs","Boston Downtown",75,45238
"389","Metrowest Maturing Suburbs","Cambridge All",69,101355
"390","Metrowest Maturing Suburbs","CCC Maturing Suburbs",73,201577
"391","Metrowest Maturing Suburbs","CMRPC Developing Suburbs",194,308392
"392","Metrowest Maturing Suburbs","Framingham All",269,66910
"393","Metrowest Maturing Suburbs","ICC Inner Core",192,417536
"394","Metrowest Maturing Suburbs","MAGIC Maturing Suburbs",103,115604
"395","Metrowest Maturing Suburbs","Metrowest Developing Suburbs",64,13801
"396","Metrowest Maturing Suburbs","Metrowest Regional Urban Centers",83,36255
"397","Metrowest Maturing Suburbs","SWAP Developing Suburbs",164,103784
"398","Metrowest Maturing Suburbs","TRIC Maturing Suburbs",111,172876
"399","Metrowest Regional Urban Centers","CMRPC Developing Suburbs",240,308392
"400","Metrowest Regional Urban Centers","Framingham All",96,66910
"401","Metrowest Regional Urban Centers","ICC Inner Core",63,417536
"402","Metrowest Regional Urban Centers","MAGIC Developing Suburbs",157,45932
"403","Metrowest Regional Urban Centers","MAGIC Maturing Suburbs",60,115604
"404","Metrowest Regional Urban Centers","Metrowest Maturing Suburbs",75,106807
"405","Metrowest Regional Urban Centers","MRPC Regional Urban Centers",63,110984
"406","MRPC Developing Suburbs","CMRPC Developing Suburbs",127,308392
"407","MRPC Developing Suburbs","FRCOG Developing Suburbs",65,38925
"408","MRPC Developing Suburbs","MAGIC Developing Suburbs",68,45932
"409","MRPC Developing Suburbs","MAGIC Maturing Suburbs",72,115604
"410","MRPC Developing Suburbs","MRPC Regional Urban Centers",722,110984
"411","MRPC Developing Suburbs","MRPC Rural Towns",118,19547
"412","MRPC Developing Suburbs","NMCOG Developing Suburbs",73,74368
"413","MRPC Regional Urban Centers","CMRPC Developing Suburbs",199,308392
"414","MRPC Regional Urban Centers","MAGIC Developing Suburbs",59,45932
"415","MRPC Regional Urban Centers","MRPC Developing Suburbs",773,104376
"416","MRPC Regional Urban Centers","MRPC Rural Towns",84,19547
"417","MRPC Rural Towns","CMRPC Developing Suburbs",78,308392
"418","MRPC Rural Towns","MRPC Developing Suburbs",104,104376
"419","MRPC Rural Towns","MRPC Regional Urban Centers",62,110984
"420","MVPC Developing Suburbs","ICC Inner Core",110,417536
"421","MVPC Developing Suburbs","MVPC Regional Urban Centers",589,136397
"422","MVPC Developing Suburbs","NMCOG Maturing Suburbs",84,101690
"423","MVPC Developing Suburbs","NSPC Maturing Suburbs",159,161159
"424","MVPC Developing Suburbs","NSTF Developing Suburbs",119,55889
"425","MVPC Developing Suburbs","NSTF Regional Urban Centers",114,158671
"426","MVPC Regional Urban Centers","ICC Inner Core",127,417536
"427","MVPC Regional Urban Centers","Lawrence Ward A",102,16297
"428","MVPC Regional Urban Centers","Lawrence Ward C",71,14242
"429","MVPC Regional Urban Centers","Lawrence Ward D",88,18315
"430","MVPC Regional Urban Centers","Lawrence Ward E",83,12811
"431","MVPC Regional Urban Centers","MVPC Developing Suburbs",595,110116
"432","MVPC Regional Urban Centers","NMCOG Developing Suburbs",74,74368
"433","MVPC Regional Urban Centers","NMCOG Maturing Suburbs",71,101690
"434","MVPC Regional Urban Centers","NSPC Maturing Suburbs",104,161159
"435","MVPC Regional Urban Centers","NSTF Developing Suburbs",53,55889
"436","MVPC Regional Urban Centers","NSTF Regional Urban Centers",91,158671
"437","New Bedford Neighborhood 1","New Bedford Neighborhood 2",67,19765
"438","New Bedford Neighborhood 1","SRPEDD Developing Suburbs",213,272896
"439","New Bedford Neighborhood 2","New Bedford Neighborhood 1",115,18383
"440","New Bedford Neighborhood 2","New Bedford Neighborhood 3",83,19180
"441","New Bedford Neighborhood 2","New Bedford Neighborhood 4",67,16801
"442","New Bedford Neighborhood 2","New Bedford Neighborhood 5",71,19639
"443","New Bedford Neighborhood 2","SRPEDD Developing Suburbs",152,272896
"444","New Bedford Neighborhood 3","New Bedford Neighborhood 1",79,18383
"445","New Bedford Neighborhood 3","New Bedford Neighborhood 2",78,19765
