"","X","origin","destination","flows","upper","lower","prob.from.origin","prob.from.destination"
"139",139,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Brockton_Ward 4",0,0,0,-99.9999107112775,-99.9999442948189
"140",140,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Brockton_Ward 5",NA,NA,NA,-90.3777814631299,-85.2812088329785
"141",141,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Brockton_Ward 6",NA,NA,NA,-73.204847681554,-51.2777317517972
"142",142,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Brockton_Ward 7",NA,NA,NA,-89.3743949939217,-85.4164863184253
"143",143,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","BRPC_Developing Suburbs",NA,NA,NA,-85.5308537441682,-48.9902301378501
"144",144,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","BRPC_Regional Urban Centers",NA,NA,NA,-92.6011321289405,-61.0700081971289
"145",145,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","BRPC_Rural Towns",NA,NA,NA,-94.2595034112473,-79.6972335217109
"146",146,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Cambridge_All",351,393,296,409.504376994541,890.636444162957
"147",147,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","CCC_Developing Suburbs",NA,NA,NA,-52.5549109150683,73.8821545682708
"148",148,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","CCC_Maturing Suburbs",71,90,47,-51.4874634787288,130.888180734984
"149",149,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","CCC_Rural Towns",NA,NA,NA,-46.8715061122217,154.713585485405
"150",150,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Chelsea_Ward 3",NA,NA,NA,52.7803517459091,129.562800346223
"151",151,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Chelsea_Ward 4",NA,NA,NA,41.1739901837495,97.8612172695426
"152",152,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","CMRPC_Developing Suburbs",NA,NA,NA,-90.2743744315452,-65.2871183772014
"153",153,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","CMRPC_Regional Urban Centers",NA,NA,NA,-95.1744013250131,-88.1523360165249
"154",154,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Everett_All",NA,NA,NA,-52.1205388604421,-15.1508415032009
"155",155,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Fall River_Sector 1",0,0,0,-99.9998457131196,-99.9998927037574
"156",156,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Fall River_Sector 2",0,0,0,-99.999885220413,-99.9999181471329
"157",157,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Fall River_Sector 5",0,0,0,-99.9997980363014,-99.9998917102414
"158",158,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Fall River_Sector 7",0,0,0,-99.9999099088801,-99.9998492526789
"159",159,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Fall River_Sector 8",0,0,0,-99.9998555455564,-99.9999169989628
"160",160,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Fall River_Sector 9",0,0,0,-99.9998837146898,-99.9999307278858
"161",161,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Framingham_All",NA,NA,NA,-38.0361736225469,45.6731155733181
"162",162,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","FRCOG_Developing Suburbs",NA,NA,NA,-96.1009690895749,-87.256422403177
"163",163,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","FRCOG_Rural Towns",0,0,0,-99.9999451335952,-99.9999365517655
"164",164,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","ICC_Inner Core",555,618,502,95.5406093187721,284.328025604119
"165",165,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","ICC_Maturing Suburbs",NA,NA,NA,37.4258051852879,179.770785152161
"166",166,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lawrence_Ward A",NA,NA,NA,-90.1848271340902,-83.9949356540904
"167",167,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lawrence_Ward C",NA,NA,NA,-86.7632920954268,-78.1298167388268
"168",168,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lawrence_Ward D",NA,NA,NA,-90.9296213191297,-84.480234846184
"169",169,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lawrence_Ward E",0,0,0,-99.9998587743817,-99.9999234650805
"170",170,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lawrence_Ward F",0,0,0,-99.9998208737728,-99.9999000917716
"171",171,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lowell_Acre",NA,NA,NA,-80.4321537828399,-73.3213787481439
"172",172,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lowell_Centralville",NA,NA,NA,-70.146371414103,-51.4092983083502
"173",173,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lowell_Highlands",0,0,0,-99.9998997289594,-99.9999386317103
"174",174,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lowell_Lower Belvidere",NA,NA,NA,-82.023046715801,-69.4344246237819
"175",175,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lowell_Lower Highlands",NA,NA,NA,-85.9493590434715,-76.8658634267192
"176",176,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lowell_Pawtucketville",NA,NA,NA,-90.2231841892842,-83.2782988274724
"177",177,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lynn_Ward 1",0,0,0,-99.9998853152034,-99.9999243263454
"178",178,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lynn_Ward 3",NA,NA,NA,-92.82099743148,-88.1860434241433
"179",179,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lynn_Ward 4",NA,NA,NA,-48.334882379062,-31.6905474798864
"180",180,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lynn_Ward 5",NA,NA,NA,-59.9383737755504,-36.4483489565247
"181",181,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Lynn_Ward 7",NA,NA,NA,-90.9575589151224,-84.0927893970901
